network_type,N,<k>,seq,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UDS_0,UDS_1,UDS_2,average_depth,time_1,time_2
ER+ER,1000,3.4,4,249,249,174,174,423,418,374,1.2653061224489797,0.5245943069458008,0.02849602699279785
ER+ER,1000,3.4,5,249,249,184,184,433,417,374,1.271186440677966,0.5385043621063232,0.03133225440979004
ER+ER,1000,3.4,6,249,249,182,182,431,415,374,1.263157894736842,0.5220792293548584,0.03086686134338379
ER+ER,1000,3.4,7,249,249,177,177,426,418,374,1.3461538461538463,0.5255835056304932,0.03140401840209961
ER+ER,1000,3.4,8,249,249,184,184,433,418,374,1.3559322033898304,0.5421082973480225,0.03110337257385254
ER+ER,1000,3.4,9,249,249,176,176,425,421,374,1.2156862745098038,0.5183281898498535,0.02958226203918457
ER+ER,1000,3.5,0,286,261,210,185,471,464,426,1.1555555555555554,0.5304877758026123,0.0336308479309082
ER+ER,1000,3.5,1,286,261,209,184,470,461,426,1.2727272727272727,0.5139098167419434,0.03435826301574707
ER+ER,1000,3.5,2,286,261,216,191,477,458,426,1.1568627450980393,0.5210151672363281,0.04455709457397461
ER+ER,1000,3.5,3,286,261,214,189,475,465,426,1.183673469387755,0.5421226024627686,0.03515911102294922
ER+ER,1000,3.5,4,286,261,203,178,464,463,426,1.236842105263158,0.526127815246582,0.03290748596191406
ER+ER,1000,3.5,5,286,261,213,188,474,466,426,1.25,0.5326242446899414,0.035076141357421875
ER+ER,1000,3.5,6,286,261,210,185,471,463,426,1.288888888888889,0.536221981048584,0.03467893600463867
ER+ER,1000,3.5,7,286,261,216,191,477,461,426,1.2549019607843137,0.5133063793182373,0.035228729248046875
ER+ER,1000,3.5,8,286,261,211,186,472,462,426,1.1521739130434783,0.5236027240753174,0.03439807891845703
ER+ER,1000,3.5,9,286,261,216,191,477,460,426,1.2156862745098038,0.5262219905853271,0.0364072322845459
ER+ER,1000,3.6,0,260,261,178,179,439,440,387,1.3846153846153846,0.5454046726226807,0.03410792350769043
ER+ER,1000,3.6,1,260,261,187,188,448,440,387,1.4754098360655739,0.5417788028717041,0.0369873046875
ER+ER,1000,3.6,2,260,261,184,185,445,437,387,1.293103448275862,0.5373132228851318,0.034476518630981445
ER+ER,1000,3.6,3,260,261,185,186,446,434,387,1.271186440677966,0.5351822376251221,0.03433370590209961
